SpatialLocation,Child_Poverty,Date
Allegany_County,4011,1997
Anne_Arundel_County,11893,1997
Baltimore_County,20936,1997
Calvert_County,2212,1997
Caroline_County,1649,1997
Carroll_County,2996,1997
Cecil_County,3359,1997
Charles_County,4407,1997
Dorchester_County,1825,1997
Frederick_County,4448,1997
Garrett_County,1957,1997
Harford_County,5813,1997
Howard_County,4187,1997
Kent_County,703,1997
Montgomery_County,18201,1997
Prince_George's_County,30164,1997
Queen_Anne's_County,1151,1997
St._Mary's_County,3528,1997
Somerset_County,1453,1997
Talbot_County,1208,1997
Washington_County,4762,1997
Wicomico_County,4431,1997
Worcester_County,2119,1997
Baltimore_city,57290,1997
Allegany_County,3356,1998
Anne_Arundel_County,10488,1998
Baltimore_County,18322,1998
Calvert_County,1848,1998
Caroline_County,1304,1998
Carroll_County,2762,1998
Cecil_County,2711,1998
Charles_County,3491,1998
Dorchester_County,1490,1998
Frederick_County,3956,1998
Garrett_County,1551,1998
Harford_County,4930,1998
Howard_County,3593,1998
Kent_County,638,1998
Montgomery_County,16254,1998
Prince_George's_County,24868,1998
Queen_Anne's_County,905,1998
St._Mary's_County,2865,1998
Somerset_County,1122,1998
Talbot_County,984,1998
Washington_County,4152,1998
Wicomico_County,3682,1998
Worcester_County,1625,1998
Baltimore_city,45506,1998
Allegany_County,2560,1999
Anne_Arundel_County,8467,1999
Baltimore_County,15505,1999
Calvert_County,1617,1999
Caroline_County,1067,1999
Carroll_County,2427,1999
Cecil_County,2399,1999
Charles_County,3013,1999
Dorchester_County,1226,1999
Frederick_County,3435,1999
Garrett_County,1258,1999
Harford_County,4285,1999
Howard_County,3505,1999
Kent_County,546,1999
Montgomery_County,14830,1999
Prince_George's_County,20929,1999
Queen_Anne's_County,885,1999
St._Mary's_County,2320,1999
Somerset_County,993,1999
Talbot_County,816,1999
Washington_County,3626,1999
Wicomico_County,3094,1999
Worcester_County,1392,1999
Baltimore_city,35475,1999
Allegany_County,2682,2000
Anne_Arundel_County,8793,2000
Baltimore_County,15735,2000
Calvert_County,1475,2000
Caroline_County,1236,2000
Carroll_County,2149,2000
Cecil_County,2571,2000
Charles_County,2841,2000
Dorchester_County,1365,2000
Frederick_County,3103,2000
Garrett_County,1354,2000
Harford_County,4056,2000
Howard_County,3083,2000
Kent_County,601,2000
Montgomery_County,15497,2000
Prince_George's_County,22650,2000
Queen_Anne's_County,886,2000
St._Mary's_County,2465,2000
Somerset_County,1133,2000
Talbot_County,824,2000
Washington_County,3885,2000
Wicomico_County,3501,2000
Worcester_County,1550,2000
Baltimore_city,40572,2000
Allegany_County,2265,2001
Anne_Arundel_County,7434,2001
Baltimore_County,14400,2001
Calvert_County,1229,2001
Caroline_County,1075,2001
Carroll_County,1752,2001
Cecil_County,2204,2001
Charles_County,2396,2001
Dorchester_County,1232,2001
Frederick_County,2645,2001
Garrett_County,1115,2001
Harford_County,3538,2001
Howard_County,2574,2001
Kent_County,478,2001
Montgomery_County,14316,2001
Prince_George's_County,21531,2001
Queen_Anne's_County,705,2001
St._Mary's_County,2126,2001
Somerset_County,988,2001
Talbot_County,695,2001
Washington_County,3352,2001
Wicomico_County,3225,2001
Worcester_County,1373,2001
Baltimore_city,35598,2001
Allegany_County,2398,2002
Anne_Arundel_County,7823,2002
Baltimore_County,15396,2002
Calvert_County,1336,2002
Caroline_County,1030,2002
Carroll_County,1892,2002
Cecil_County,2327,2002
Charles_County,2693,2002
Dorchester_County,1266,2002
Frederick_County,2931,2002
Garrett_County,1101,2002
Harford_County,4045,2002
Howard_County,2902,2002
Kent_County,481,2002
Montgomery_County,15200,2002
Prince_George's_County,21878,2002
Queen_Anne's_County,683,2002
St._Mary's_County,2219,2002
Somerset_County,1032,2002
Talbot_County,712,2002
Washington_County,3659,2002
Wicomico_County,3282,2002
Worcester_County,1339,2002
Baltimore_city,37663,2002
Allegany_County,2781,2003
Anne_Arundel_County,9239,2003
Baltimore_County,17729,2003
Calvert_County,1602,2003
Caroline_County,1212,2003
Carroll_County,2339,2003
Cecil_County,2832,2003
Charles_County,3588,2003
Dorchester_County,1432,2003
Frederick_County,3789,2003
Garrett_County,1270,2003
Harford_County,5018,2003
Howard_County,3808,2003
Kent_County,575,2003
Montgomery_County,19275,2003
Prince_George's_County,25124,2003
Queen_Anne's_County,905,2003
St._Mary's_County,2666,2003
Somerset_County,1203,2003
Talbot_County,857,2003
Washington_County,4428,2003
Wicomico_County,3633,2003
Worcester_County,1526,2003
Baltimore_city,42584,2003
Allegany_County,2482,2004
Anne_Arundel_County,9611,2004
Baltimore_County,18036,2004
Calvert_County,1485,2004
Caroline_County,1118,2004
Carroll_County,2315,2004
Cecil_County,2735,2004
Charles_County,3379,2004
Dorchester_County,1318,2004
Frederick_County,3790,2004
Garrett_County,1164,2004
Harford_County,4881,2004
Howard_County,3833,2004
Kent_County,550,2004
Montgomery_County,18853,2004
Prince_George's_County,23641,2004
Queen_Anne's_County,857,2004
St._Mary's_County,2546,2004
Somerset_County,1127,2004
Talbot_County,816,2004
Washington_County,4298,2004
Wicomico_County,3484,2004
Worcester_County,1435,2004
Baltimore_city,42335,2004
Allegany_County,2692,2005
Anne_Arundel_County,8886,2005
Baltimore_County,15603,2005
Calvert_County,1374,2005
Caroline_County,1274,2005
Carroll_County,1903,2005
Cecil_County,2799,2005
Charles_County,2798,2005
Dorchester_County,1497,2005
Frederick_County,3236,2005
Garrett_County,1349,2005
Harford_County,4701,2005
Howard_County,2996,2005
Kent_County,600,2005
Montgomery_County,13145,2005
Prince_George's_County,21446,2005
Queen_Anne's_County,845,2005
St._Mary's_County,2619,2005
Somerset_County,1228,2005
Talbot_County,811,2005
Washington_County,3907,2005
Wicomico_County,4167,2005
Worcester_County,1576,2005
Baltimore_city,48261,2005
Allegany_County,2302,2006
Anne_Arundel_County,6951,2006
Baltimore_County,16661,2006
Calvert_County,1277,2006
Caroline_County,1203,2006
Carroll_County,1841,2006
Cecil_County,2476,2006
Charles_County,2743,2006
Dorchester_County,1413,2006
Frederick_County,2992,2006
Garrett_County,1087,2006
Harford_County,3943,2006
Howard_County,3160,2006
Kent_County,561,2006
Montgomery_County,12585,2006
Prince_George's_County,21000,2006
Queen_Anne's_County,776,2006
St._Mary's_County,2272,2006
Somerset_County,1195,2006
Talbot_County,819,2006
Washington_County,3740,2006
Wicomico_County,3568,2006
Worcester_County,1407,2006
Baltimore_city,38792,2006
Allegany_County,2310,2007
Anne_Arundel_County,7752,2007
Baltimore_County,16116,2007
Calvert_County,1377,2007
Caroline_County,1289,2007
Carroll_County,2127,2007
Cecil_County,3112,2007
Charles_County,2789,2007
Dorchester_County,1314,2007
Frederick_County,3660,2007
Garrett_County,1206,2007
Harford_County,4230,2007
Howard_County,3280,2007
Kent_County,568,2007
Montgomery_County,13253,2007
Prince_George's_County,21410,2007
Queen_Anne's_County,845,2007
St._Mary's_County,2436,2007
Somerset_County,1284,2007
Talbot_County,866,2007
Washington_County,4315,2007
Wicomico_County,3695,2007
Worcester_County,1523,2007
Baltimore_city,40775,2007
Allegany_County,2459,2008
Anne_Arundel_County,8449,2008
Baltimore_County,16597,2008
Calvert_County,1431,2008
Caroline_County,1185,2008
Carroll_County,2556,2008
Cecil_County,2595,2008
Charles_County,2993,2008
Dorchester_County,1469,2008
Frederick_County,3692,2008
Garrett_County,1309,2008
Harford_County,4291,2008
Howard_County,3369,2008
Kent_County,604,2008
Montgomery_County,16589,2008
Prince_George's_County,16676,2008
Queen_Anne's_County,837,2008
St._Mary's_County,2591,2008
Somerset_County,1272,2008
Talbot_County,875,2008
Washington_County,4162,2008
Wicomico_County,3665,2008
Worcester_County,1602,2008
Baltimore_city,36563,2008
Allegany_County,2885,2009
Anne_Arundel_County,10873,2009
Baltimore_County,17359,2009
Calvert_County,1701,2009
Caroline_County,1525,2009
Carroll_County,2708,2009
Cecil_County,3093,2009
Charles_County,3223,2009
Dorchester_County,1683,2009
Frederick_County,4040,2009
Garrett_County,1154,2009
Harford_County,4634,2009
Howard_County,4067,2009
Kent_County,691,2009
Montgomery_County,19496,2009
Prince_George's_County,21310,2009
Queen_Anne's_County,1035,2009
St._Mary's_County,2941,2009
Somerset_County,1367,2009
Talbot_County,997,2009
Washington_County,5243,2009
Wicomico_County,3984,2009
Worcester_County,1814,2009
Baltimore_city,39342,2009
Allegany_County,3144,2010
Anne_Arundel_County,10846,2010
Baltimore_County,18970,2010
Calvert_County,1810,2010
Caroline_County,1556,2010
Carroll_County,2827,2010
Cecil_County,3627,2010
Charles_County,3258,2010
Dorchester_County,1784,2010
Frederick_County,4493,2010
Garrett_County,1572,2010
Harford_County,5533,2010
Howard_County,4457,2010
Kent_County,705,2010
Montgomery_County,21615,2010
Prince_George's_County,24700,2010
Queen_Anne's_County,1135,2010
St._Mary's_County,3018,2010
Somerset_County,1273,2010
Talbot_County,1083,2010
Washington_County,5536,2010
Wicomico_County,5000,2010
Worcester_County,1881,2010
Baltimore_city,44646,2010
Allegany_County,3209,2011
Anne_Arundel_County,11306,2011
Baltimore_County,21674,2011
Calvert_County,1970,2011
Caroline_County,1643,2011
Carroll_County,2881,2011
Cecil_County,3665,2011
Charles_County,4065,2011
Dorchester_County,2060,2011
Frederick_County,5091,2011
Garrett_County,1330,2011
Harford_County,7182,2011
Howard_County,5543,2011
Kent_County,755,2011
Montgomery_County,20330,2011
Prince_George's_County,24886,2011
Queen_Anne's_County,1307,2011
St._Mary's_County,3362,2011
Somerset_County,1388,2011
Talbot_County,1221,2011
Washington_County,5796,2011
Wicomico_County,5110,2011
Worcester_County,2072,2011
Baltimore_city,46393,2011
Allegany_County,3253,2012
Anne_Arundel_County,11281,2012
Baltimore_County,22765,2012
Calvert_County,2007,2012
Caroline_County,1813,2012
Carroll_County,3034,2012
Cecil_County,3897,2012
Charles_County,4421,2012
Dorchester_County,2141,2012
Frederick_County,5219,2012
Garrett_County,1310,2012
Harford_County,6168,2012
Howard_County,5099,2012
Kent_County,741,2012
Montgomery_County,19425,2012
Prince_George's_County,29845,2012
Queen_Anne's_County,1228,2012
St._Mary's_County,3333,2012
Somerset_County,1507,2012
Talbot_County,1110,2012
Washington_County,6627,2012
Wicomico_County,5347,2012
Worcester_County,1936,2012
Baltimore_city,43892,2012
