County,Unemployed,Date
Allegany_County,3238,1997
Anne_Arundel_County,9698,1997
Baltimore_County,20309,1997
Calvert_County,1298,1997
Caroline_County,818,1997
Carroll_County,3057,1997
Cecil_County,3167,1997
Charles_County,2347,1997
Dorchester_County,1625,1997
Frederick_County,3653,1997
Garrett_County,1945,1997
Harford_County,5622,1997
Howard_County,3898,1997
Kent_County,716,1997
Montgomery_County,11784,1997
Prince_George's_County,21848,1997
Queen_Anne's_County,834,1997
St._Mary's_County,2090,1997
Somerset_County,1093,1997
Talbot_County,776,1997
Washington_County,3364,1997
Wicomico_County,2858,1997
Worcester_County,2650,1997
Baltimore_city,28725,1997
Allegany_County,2851,1998
Anne_Arundel_County,8561,1998
Baltimore_County,18030,1998
Calvert_County,1294,1998
Caroline_County,686,1998
Carroll_County,2550,1998
Cecil_County,2708,1998
Charles_County,1901,1998
Dorchester_County,1531,1998
Frederick_County,2802,1998
Garrett_County,1531,1998
Harford_County,5029,1998
Howard_County,3364,1998
Kent_County,620,1998
Montgomery_County,10597,1998
Prince_George's_County,18781,1998
Queen_Anne's_County,777,1998
St._Mary's_County,1787,1998
Somerset_County,1099,1998
Talbot_County,719,1998
Washington_County,2872,1998
Wicomico_County,2591,1998
Worcester_County,2556,1998
Baltimore_city,26736,1998
Allegany_County,2325,1999
Anne_Arundel_County,7262,1999
Baltimore_County,14882,1999
Calvert_County,990,1999
Caroline_County,526,1999
Carroll_County,2072,1999
Cecil_County,1911,1999
Charles_County,1565,1999
Dorchester_County,1142,1999
Frederick_County,2219,1999
Garrett_County,1152,1999
Harford_County,3695,1999
Howard_County,2578,1999
Kent_County,385,1999
Montgomery_County,8813,1999
Prince_George's_County,15632,1999
Queen_Anne's_County,609,1999
St._Mary's_County,1562,1999
Somerset_County,872,1999
Talbot_County,539,1999
Washington_County,2336,1999
Wicomico_County,2226,1999
Worcester_County,2229,1999
Baltimore_city,21255,1999
Allegany_County,1957,2000
Anne_Arundel_County,8129,2000
Baltimore_County,15222,2000
Calvert_County,1221,2000
Caroline_County,556,2000
Carroll_County,2506,2000
Cecil_County,1622,2000
Charles_County,1933,2000
Dorchester_County,801,2000
Frederick_County,2984,2000
Garrett_County,757,2000
Harford_County,3915,2000
Howard_County,3656,2000
Kent_County,391,2000
Montgomery_County,12874,2000
Prince_George's_County,15903,2000
Queen_Anne's_County,698,2000
St._Mary's_County,1446,2000
Somerset_County,654,2000
Talbot_County,587,2000
Washington_County,2429,2000
Wicomico_County,1933,2000
Worcester_County,1599,2000
Baltimore_city,16628,2000
Allegany_County,2082,2001
Anne_Arundel_County,9287,2001
Baltimore_County,17007,2001
Calvert_County,1307,2001
Caroline_County,713,2001
Carroll_County,2732,2001
Cecil_County,1808,2001
Charles_County,2093,2001
Dorchester_County,1006,2001
Frederick_County,3520,2001
Garrett_County,794,2001
Harford_County,4485,2001
Howard_County,4462,2001
Kent_County,423,2001
Montgomery_County,15054,2001
Prince_George's_County,18069,2001
Queen_Anne's_County,785,2001
St._Mary's_County,1520,2001
Somerset_County,723,2001
Talbot_County,638,2001
Washington_County,2951,2001
Wicomico_County,2239,2001
Worcester_County,1754,2001
Baltimore_city,18351,2001
Allegany_County,2060,2002
Anne_Arundel_County,10620,2002
Baltimore_County,18999,2002
Calvert_County,1475,2002
Caroline_County,723,2002
Carroll_County,3139,2002
Cecil_County,2099,2002
Charles_County,2374,2002
Dorchester_County,1061,2002
Frederick_County,3952,2002
Garrett_County,841,2002
Harford_County,5231,2002
Howard_County,5174,2002
Kent_County,479,2002
Montgomery_County,17201,2002
Prince_George's_County,21173,2002
Queen_Anne's_County,854,2002
St._Mary's_County,1712,2002
Somerset_County,741,2002
Talbot_County,702,2002
Washington_County,3310,2002
Wicomico_County,2323,2002
Worcester_County,1773,2002
Baltimore_city,19440,2002
Allegany_County,2065,2003
Anne_Arundel_County,10303,2003
Baltimore_County,19389,2003
Calvert_County,1541,2003
Caroline_County,803,2003
Carroll_County,3213,2003
Cecil_County,2445,2003
Charles_County,2398,2003
Dorchester_County,1118,2003
Frederick_County,4030,2003
Garrett_County,810,2003
Harford_County,5385,2003
Howard_County,5021,2003
Kent_County,506,2003
Montgomery_County,16418,2003
Prince_George's_County,20576,2003
Queen_Anne's_County,916,2003
St._Mary's_County,1677,2003
Somerset_County,718,2003
Talbot_County,800,2003
Washington_County,3307,2003
Wicomico_County,2319,2003
Worcester_County,1808,2003
Baltimore_city,20131,2003
Allegany_County,2137,2004
Anne_Arundel_County,10042,2004
Baltimore_County,18331,2004
Calvert_County,1542,2004
Caroline_County,753,2004
Carroll_County,3124,2004
Cecil_County,2120,2004
Charles_County,2411,2004
Dorchester_County,995,2004
Frederick_County,3912,2004
Garrett_County,795,2004
Harford_County,5065,2004
Howard_County,4896,2004
Kent_County,461,2004
Montgomery_County,15849,2004
Prince_George's_County,19632,2004
Queen_Anne's_County,874,2004
St._Mary's_County,1672,2004
Somerset_County,730,2004
Talbot_County,766,2004
Washington_County,3006,2004
Wicomico_County,2204,2004
Worcester_County,1865,2004
Baltimore_city,19668,2004
Allegany_County,2152,2005
Anne_Arundel_County,9666,2005
Baltimore_County,17939,2005
Calvert_County,1569,2005
Caroline_County,708,2005
Carroll_County,3045,2005
Cecil_County,2290,2005
Charles_County,2484,2005
Dorchester_County,923,2005
Frederick_County,3778,2005
Garrett_County,794,2005
Harford_County,5098,2005
Howard_County,4765,2005
Kent_County,457,2005
Montgomery_County,15734,2005
Prince_George's_County,19791,2005
Queen_Anne's_County,877,2005
St._Mary's_County,1737,2005
Somerset_County,691,2005
Talbot_County,738,2005
Washington_County,2980,2005
Wicomico_County,2193,2005
Worcester_County,1831,2005
Baltimore_city,18815,2005
Allegany_County,1986,2006
Anne_Arundel_County,9266,2006
Baltimore_County,16778,2006
Calvert_County,1481,2006
Caroline_County,701,2006
Carroll_County,2984,2006
Cecil_County,2215,2006
Charles_County,2348,2006
Dorchester_County,960,2006
Frederick_County,3863,2006
Garrett_County,813,2006
Harford_County,4783,2006
Howard_County,4517,2006
Kent_County,428,2006
Montgomery_County,14667,2006
Prince_George's_County,18486,2006
Queen_Anne's_County,867,2006
St._Mary's_County,1703,2006
Somerset_County,623,2006
Talbot_County,680,2006
Washington_County,3053,2006
Wicomico_County,2127,2006
Worcester_County,1700,2006
Baltimore_city,17483,2006
Allegany_County,1778,2007
Anne_Arundel_County,8380,2007
Baltimore_County,15058,2007
Calvert_County,1336,2007
Caroline_County,670,2007
Carroll_County,2749,2007
Cecil_County,1934,2007
Charles_County,2195,2007
Dorchester_County,961,2007
Frederick_County,3549,2007
Garrett_County,728,2007
Harford_County,4386,2007
Howard_County,4017,2007
Kent_County,390,2007
Montgomery_County,13368,2007
Prince_George's_County,15971,2007
Queen_Anne's_County,806,2007
St._Mary's_County,1498,2007
Somerset_County,595,2007
Talbot_County,633,2007
